CellType_A,CellType_B,1_A_count,1_B_count,1_A→B,1_B→A,1_Asymmetry,2_A_count,2_B_count,2_A→B,2_B→A,2_Asymmetry,Observed_Diff
adipocytes,generic immune,1101,4799,13.336111689935404,46.41235240690282,33.07624071696742,710,2278,6.935908691834943,19.295774647887324,12.359865956052381,20.716374760915038
adipocytes,NK cells,1101,34,8.823529411764707,0.2724795640326975,8.55104984773201,710,289,8.304498269896193,3.3802816901408446,4.924216579755349,3.626833267976661
plasma cells,CD8+ T cells,3904,6747,38.77278790573588,58.37602459016394,19.603236684428055,4606,9928,45.82997582594682,72.16673903603996,26.33676321009314,6.733526525665084
plasma cells,Tregs,3904,906,37.63796909492274,10.399590163934427,27.23837893098831,4606,1885,43.87267904509284,21.341728180633957,22.53095086445888,4.707428066529431
plasma cells,CD4+ T cells,3904,1920,39.895833333333336,21.670081967213115,18.22575136612022,4606,639,47.57433489827856,8.554059921841077,39.02027497643748,20.794523610317256
plasma cells,CD68+ macros,3904,1023,39.98044965786901,12.679303278688526,27.301146379180484,4606,3983,45.21717298518704,40.75119409465914,4.4659788905279,22.835167488652584
plasma cells,B cells,3904,10269,42.35076443665401,74.05225409836066,31.701489661706653,4606,2774,46.75558759913482,29.613547546678248,17.142040052456572,14.55944960925008
plasma cells,smooth muscle,3904,10949,37.674673486163115,74.10348360655738,36.42881012039426,4606,16868,43.004505572682,86.99522362136344,43.99071804868144,7.561907928287177
plasma cells,generic immune,3904,4799,39.00812669306106,46.7469262295082,7.738799536447139,4606,2278,42.625109745390695,24.858879722101605,17.76623002328909,10.02743048684195
plasma cells,NK cells,3904,34,41.17647058823529,0.48668032786885246,40.689790260366436,4606,289,42.90657439446367,3.6691272253582286,39.23744716910544,1.4523430912609996
CD8+ T cells,Tregs,6747,906,57.17439293598234,11.086408774270046,46.08798416171229,9928,1885,68.75331564986737,21.132151490733282,47.621164159134096,1.5331799974218043
CD8+ T cells,CD4+ T cells,6747,1920,57.70833333333333,22.276567363272566,35.431765970060766,9928,639,71.51799687010954,8.027800161160355,63.490196708949185,28.05843073888842
CD8+ T cells,CD68+ macros,6747,1023,59.82404692082112,12.701941603675706,47.12210531714541,9928,3983,69.26939492844589,38.53746978243352,30.731925146012372,16.39018017113304
CD8+ T cells,B cells,6747,10269,59.68448729184925,71.92826441381355,12.2437771219643,9928,2774,72.45854361932228,29.28082191780822,43.177721701514066,30.933944579549767
CD8+ T cells,smooth muscle,6747,10949,55.310987304776695,75.2482584852527,19.93727118047601,9928,16868,69.16054066872184,86.89564867042708,17.735108001705242,2.2021631787707676
CD8+ T cells,generic immune,6747,4799,57.032715148989375,46.89491625907811,10.137798889911267,9928,2278,69.53467954345918,24.869057211925867,44.665622331533314,34.52782344162205
CD8+ T cells,NK cells,6747,34,47.05882352941176,0.3260708463020602,46.7327526831097,9928,289,73.35640138408304,3.485092667203868,69.87130871687917,23.13855603376947
Tregs,CD4+ T cells,906,1920,11.510416666666666,21.85430463576159,10.343887969094924,1885,639,25.039123630672925,9.071618037135279,15.967505593537647,5.623617624442723
